Seed,FS_Score,Total_Reward
2051,0.0868,0.2676
2063,0.1165,0.2967
2058,0.1170,0.2981
2054,0.1382,0.3191
2074,0.1424,0.3221
2055,0.1526,0.3338
2030,0.1539,0.3348
2029,0.1612,0.3418
2073,0.1792,0.3604
2065,0.2012,0.3823
2037,0.2044,0.3853
2042,0.2050,0.3851
2048,0.2065,0.3873
2035,0.2117,0.3914
2062,0.2118,0.3926
2040,0.2119,0.3929
2050,0.2246,0.4055
2075,0.2264,0.4072
2031,0.2291,0.4103
2059,0.2343,0.4156
2028,0.2395,0.4185
2032,0.2494,0.4307
2071,0.2505,0.4316
2033,0.2530,0.4335
2066,0.2538,0.4340
2057,0.2552,0.4357
2036,0.2637,0.4449
2049,0.2649,0.4461
2045,0.2661,0.4468
2039,0.2882,0.4688
2038,0.2946,0.4755
2067,0.2997,0.4801
2046,0.3007,0.4813
2064,0.3150,0.4952
2043,0.3248,0.5049
2069,0.3454,0.5263
2041,0.3465,0.5272
2052,0.3710,0.5513
2070,0.3868,0.5670
2068,0.4135,0.5937
2072,0.4501,0.6311
2034,0.4729,0.6526
2027,0.4853,0.6674
2060,0.5383,0.7196
2044,0.5589,0.7398
2056,0.5964,0.7769
2026,0.6406,0.8209
2061,0.6978,0.8794
2053,0.8177,0.9971
2047,0.8499,1.0301
